500,-nan,-nan,-nan
9499,0.0844783,0.0965856,0.109604
18498,4.47795e+197,8.94972e+198,1.15316e+199
27497,0.0844378,0.096583,0.109592
36496,0.0844265,0.0965919,0.109598
45495,0.0844292,0.0966164,0.109621
54494,0.0844774,0.0966177,0.109633
63493,0.0830159,0.0975571,0.110178
72492,0.0798879,0.100362,0.111721
81491,0.108477,0.0894519,0.104628
90490,0.202034,0.0519307,0.0806053
99489,0.0113712,0.211342,0.169575
108488,0.211398,0.135847,0.120431
117487,0.270082,0.147534,0.122309
126486,0.243825,0.213918,0.15595
135485,0.304653,0.163856,0.12795
144484,0.612482,0.0392491,0.0483418
153483,0.751223,0.00257577,0.02185
162482,0.124476,0.47189,0.287838
171481,0.661908,0.124677,0.0863538
180480,0.888812,0.00647258,0.0149647
189479,0.867622,0.0282777,0.0268284
198478,0.86878,0.029779,0.0274559
207477,0.615061,0.199088,0.12542
216476,0.240292,0.44063,0.26428
225475,0.918606,0.0142895,0.0169144
234474,0.159389,0.496783,0.298061
243473,0.918071,0.0196113,0.0199787
252472,0.693522,0.165448,0.101298
261471,0.651102,0.178388,0.112695
270470,0.543919,0.161997,0.111613
279469,0.136451,0.410267,0.256935
288468,0.830573,0.0762923,0.0514534
297467,0.263505,0.441845,0.255636
306466,0.174055,0.481181,0.308339
315465,0.819968,0.0934571,0.051854
324464,0.475202,0.304393,0.187353
333463,0.393516,0.369225,0.205776
342462,0.901093,0.0350419,0.0338491
351461,0.237239,0.46263,0.271467
360460,0.322553,0.420353,0.229677
369459,0.930349,0.0188286,0.0247397
378458,0.646064,0.232601,0.0963601
387457,0.176173,0.514722,0.285377
396456,0.710612,0.184327,0.082488
405455,0.951402,0.0186442,0.00837435
414454,0.369928,0.345569,0.264135
423453,0.177194,0.444353,0.355944
432452,0.83232,0.108609,0.0399893
441451,0.166536,0.574034,0.241534
450450,0.775345,0.148179,0.0599652
459449,0.441264,0.354659,0.188372
468448,0.179184,0.420595,0.385323
477447,0.38286,0.372453,0.230608
486446,0.868577,0.097429,0.0207223
495445,0.9169,0.0277743,0.0427432
504444,0.750461,0.134841,0.102746
513443,0.291853,0.382666,0.314222
522442,0.167188,0.584569,0.23753
531441,0.318155,0.489003,0.182744
540440,0.689288,0.216683,0.0844763
549439,0.850227,0.117445,0.0232291
558438,0.917577,0.0169231,0.056939
567437,0.93866,0.0163792,0.0349313
576436,0.435987,0.369092,0.188102
585435,0.816179,0.145068,0.0312146
594434,0.14989,0.60713,0.236033
603433,0.250808,0.402043,0.340544
612432,0.390476,0.416857,0.186385
621431,0.720175,0.129899,0.143967
630430,0.938691,0.0465377,0.00913979
639429,0.944826,0.00818618,0.041636
648428,0.877344,0.0300667,0.0874757
657427,0.624466,0.229313,0.141381
666426,0.520391,0.209733,0.265236
675425,0.233259,0.377443,0.384909
684424,0.16705,0.48032,0.348453
693423,0.167381,0.502409,0.326199
702422,0.399727,0.329013,0.26747
711421,0.929061,0.0111653,0.0547494
720420,0.729684,0.185468,0.0808841
729419,0.886622,0.0979345,0.0117492
738418,0.164754,0.634482,0.197363
747417,0.179621,0.608148,0.208936
756416,0.171052,0.451462,0.374328
765415,0.263052,0.497754,0.236191
774414,0.445515,0.255825,0.295796
783413,0.737659,0.144109,0.115504
792412,0.775258,0.0751147,0.147
801411,0.946865,0.047819,0.00280917
810410,0.946336,0.0385589,0.0126878
819409,0.945658,0.0491468,0.00289191
828408,0.803591,0.159325,0.0348767
837407,0.808305,0.155063,0.0344995
846406,0.505762,0.384072,0.108135
855405,0.285464,0.550836,0.161197
864404,0.195087,0.465355,0.33774
873403,0.588721,0.295006,0.114578
882402,0.918876,0.0357754,0.0437702
891401,0.889774,0.0702307,0.0384862
900400,0.882018,0.106019,0.0108001
909399,0.592517,0.290533,0.116012
918398,0.263484,0.562088,0.173473
927397,0.934568,0.0559301,0.008692
936396,0.738877,0.213274,0.0465716
945395,0.527132,0.358113,0.113531
954394,0.484588,0.260235,0.253993
963393,0.367257,0.424251,0.207355
972392,0.263126,0.422607,0.313173
981391,0.234106,0.415331,0.3495
990390,0.183296,0.395254,0.420433
999389,0.538756,0.369263,0.0907279
1.00839e+06,0.424045,0.341237,0.23372
1.01739e+06,0.167024,0.574939,0.257107
1.02639e+06,0.290478,0.32694,0.381695
1.03538e+06,0.33818,0.434086,0.226874
1.04438e+06,0.402347,0.266231,0.33059
1.05338e+06,0.488427,0.298956,0.211815
1.06238e+06,0.631275,0.148059,0.219892
1.07138e+06,0.680219,0.15319,0.165842
1.08038e+06,0.740795,0.218868,0.0396089
1.08938e+06,0.888124,0.0335428,0.0776338
1.09838e+06,0.884458,0.0252819,0.0895788
1.10738e+06,0.959408,0.0374947,0.00244131
1.11638e+06,0.985499,0.0015877,0.0122775
1.12538e+06,0.988762,0.00951727,0.00109951
1.13437e+06,0.901049,0.0603165,0.0380395
1.14337e+06,0.166715,0.536565,0.295915
1.15237e+06,0.197319,0.493138,0.308885
1.16137e+06,0.571629,0.283567,0.144206
1.17037e+06,0.961445,0.0339254,0.00408524
1.17937e+06,0.871375,0.0313441,0.0967571
1.18837e+06,0.806952,0.120708,0.0718305
1.19737e+06,0.651166,0.277954,0.0703935
1.20637e+06,0.546325,0.29726,0.155945
1.21536e+06,0.437063,0.252618,0.309864
1.22436e+06,0.467389,0.414799,0.117364
1.23336e+06,0.409488,0.280598,0.30948
1.24236e+06,0.304356,0.359897,0.335327
1.25136e+06,0.303707,0.407557,0.288327
1.26036e+06,0.194885,0.620097,0.184623
1.26936e+06,0.290972,0.333702,0.374935
1.27836e+06,0.277683,0.353241,0.368693
1.28736e+06,0.611368,0.238017,0.15012
1.29636e+06,0.362073,0.481064,0.156491
1.30536e+06,0.18358,0.506015,0.310053
1.31435e+06,0.259685,0.356558,0.383426
1.32335e+06,0.265996,0.346517,0.387163
1.33235e+06,0.284793,0.383977,0.330915
1.34135e+06,0.326998,0.470332,0.202363
1.35035e+06,0.418077,0.327446,0.254181
1.35935e+06,0.492448,0.350081,0.157182
1.36835e+06,0.50371,0.233527,0.262479
1.37735e+06,0.559926,0.224924,0.214876
1.38635e+06,0.565568,0.20422,0.229942
1.39534e+06,0.697817,0.124179,0.177743
1.40434e+06,0.75864,0.185617,0.0554891
1.41334e+06,0.667057,0.196915,0.135777
1.42234e+06,0.854859,0.0916225,0.0532765
1.43134e+06,0.201742,0.431634,0.366289
1.44034e+06,0.527548,0.279167,0.193044
1.44934e+06,0.830914,0.0661084,0.102751
1.45834e+06,0.893818,0.0486409,0.0573224
1.46734e+06,0.904788,0.0369793,0.0580188
1.47634e+06,0.959672,0.00723357,0.0328855
1.48534e+06,0.920517,0.0330374,0.0462424
1.49433e+06,0.947444,0.031742,0.020616
1.50333e+06,0.912128,0.0518234,0.0358559
1.51233e+06,0.945193,0.00848616,0.0461313
1.52133e+06,0.932701,0.0630967,0.00401803
1.53033e+06,0.927457,0.0680061,0.00435569
1.53933e+06,0.894886,0.0233005,0.0816371
1.54833e+06,0.839414,0.142765,0.0176494
1.55733e+06,0.883958,0.0969253,0.018947
1.56633e+06,0.799415,0.120628,0.0797935
1.57532e+06,0.3461,0.505144,0.148549
1.58432e+06,0.97228,0.0267657,0.00078995
1.59332e+06,0.850477,0.0440079,0.105357
1.60232e+06,0.611905,0.197086,0.190859
1.61132e+06,0.658677,0.151227,0.189948
1.62032e+06,0.564654,0.329727,0.105475
1.62932e+06,0.514891,0.359785,0.125183
1.63832e+06,0.471226,0.42128,0.107357
1.64732e+06,0.41855,0.398128,0.183188
1.65632e+06,0.463399,0.296942,0.239527
1.66532e+06,0.358411,0.380333,0.261128
1.67431e+06,0.404337,0.407893,0.187644
1.68331e+06,0.330677,0.485975,0.183225
1.69231e+06,0.306166,0.320667,0.373047
1.70131e+06,0.319115,0.325212,0.355554
1.71031e+06,0.241384,0.435704,0.322796
1.71931e+06,0.185996,0.398801,0.415051
1.72831e+06,0.526478,0.379811,0.0935936
1.73731e+06,0.368666,0.497686,0.133534
1.74631e+06,0.21325,0.570038,0.216604
1.7553e+06,0.19459,0.61275,0.192555
1.7643e+06,0.196963,0.60063,0.202303
1.7733e+06,0.197058,0.392837,0.410004
1.7823e+06,0.162424,0.597571,0.239907
1.7913e+06,0.170053,0.536914,0.292935
1.8003e+06,0.175697,0.477542,0.346665
1.8093e+06,0.167951,0.562515,0.269441
1.8183e+06,0.156552,0.641642,0.201715
1.8273e+06,0.165678,0.641652,0.19258
1.8363e+06,0.192582,0.437809,0.369522
1.8453e+06,0.180557,0.489822,0.329535
1.85429e+06,0.229897,0.361691,0.408328
1.86329e+06,0.236197,0.355606,0.40808
1.87229e+06,0.709918,0.142205,0.147782
1.88129e+06,0.235145,0.55865,0.206119
1.89029e+06,0.289096,0.375601,0.335225
1.89929e+06,0.289193,0.373107,0.337624
1.90829e+06,0.305243,0.379914,0.314767
1.91729e+06,0.307141,0.33577,0.357014
1.92629e+06,0.282237,0.392768,0.324921
1.93528e+06,0.277645,0.348043,0.374239
1.94428e+06,0.237891,0.555951,0.206086
1.95328e+06,0.371168,0.36091,0.267852
1.96228e+06,0.368458,0.380455,0.251019
1.97128e+06,0.368697,0.438554,0.192681
1.98028e+06,0.497411,0.229275,0.273249
1.98928e+06,0.492194,0.218023,0.289719
1.99828e+06,0.561047,0.354659,0.0842308
2.00728e+06,0.772668,0.128638,0.0986073
2.01628e+06,0.342612,0.30965,0.347674
2.02528e+06,0.833165,0.0955388,0.0712389
2.03427e+06,0.729371,0.208943,0.0616274
2.04327e+06,0.662716,0.224814,0.112413
2.05227e+06,0.662924,0.278184,0.058836
2.06127e+06,0.446795,0.265115,0.288032
2.07027e+06,0.673068,0.172629,0.154247
2.07927e+06,0.747709,0.0948115,0.157426
2.08827e+06,0.518102,0.375402,0.106441
2.09727e+06,0.593981,0.177539,0.228426
2.10627e+06,0.720283,0.158473,0.121192
2.11526e+06,0.56838,0.289875,0.141693
2.12426e+06,0.568161,0.289362,0.142425
2.13326e+06,0.497164,0.242263,0.26052
2.14226e+06,0.522313,0.283328,0.194308
2.15126e+06,0.933443,0.0533225,0.0131686
2.16026e+06,0.942614,0.052888,0.00447462
2.16926e+06,0.904136,0.0551468,0.0406714
2.17826e+06,0.988966,0.0012951,0.00969534
2.18726e+06,0.926621,0.0468667,0.0264693
2.19626e+06,0.950891,0.0103393,0.0387274
2.20526e+06,0.981565,0.00421177,0.0141816
2.21425e+06,0.931454,0.0296232,0.0388819
2.22325e+06,0.9552,0.022993,0.0217665
2.23225e+06,0.998151,0.00151159,0.000297759
2.24125e+06,0.993223,0.000719275,0.00601899
2.25025e+06,0.930397,0.0236898,0.0458749
2.25925e+06,0.908356,0.0353386,0.0562678
2.26825e+06,0.901708,0.0559379,0.042317
2.27725e+06,0.929822,0.0175901,0.0525516
2.28625e+06,0.945942,0.00599122,0.0480308
2.29524e+06,0.348264,0.393366,0.258321
2.30424e+06,0.4939,0.260362,0.245696
2.31324e+06,0.925269,0.0382646,0.0364306
2.32224e+06,0.857338,0.0757721,0.0668559
2.33124e+06,0.860502,0.0614055,0.0780592
2.34024e+06,0.864014,0.107979,0.0279742
2.34924e+06,0.837034,0.0669571,0.0959764
2.35824e+06,0.820068,0.0787691,0.101132
2.36724e+06,0.798264,0.10917,0.0925344
2.37624e+06,0.809689,0.145645,0.0446347
2.38524e+06,0.784716,0.17914,0.036114
2.39423e+06,0.829117,0.049467,0.121386
2.40323e+06,0.777281,0.191947,0.030743
2.41223e+06,0.797651,0.15197,0.0503502
2.42123e+06,0.758035,0.19309,0.048846
2.43023e+06,0.707398,0.216167,0.0764065
2.43923e+06,0.352121,0.328834,0.319009
2.44823e+06,0.950709,0.00513759,0.0441246
2.45723e+06,0.85309,0.0582871,0.0885945
2.46623e+06,0.725372,0.147556,0.127046
2.47522e+06,0.766138,0.201943,0.0318926
2.48422e+06,0.872542,0.0425052,0.0849247
2.49322e+06,0.825785,0.120395,0.0537939
2.50222e+06,0.890628,0.0920595,0.0172858
2.51122e+06,0.917025,0.0193792,0.0635691
2.52022e+06,0.86886,0.0799958,0.0511187
2.52922e+06,0.81988,0.0853926,0.0947013
2.53822e+06,0.703969,0.108425,0.187582
2.54722e+06,0.765451,0.0772593,0.157265
2.55622e+06,0.810534,0.141571,0.0478695
2.56522e+06,0.710472,0.214499,0.0750047
2.57421e+06,0.620687,0.152963,0.226326
2.58321e+06,0.191947,0.54415,0.263872
2.59221e+06,0.725958,0.163591,0.110428
2.60121e+06,0.675607,0.272103,0.0522668
2.61021e+06,0.535501,0.193897,0.270581
2.61921e+06,0.510107,0.246288,0.243583
2.62821e+06,0.544168,0.284948,0.170863
2.63721e+06,0.523556,0.264862,0.211561
2.64621e+06,0.436673,0.43571,0.127596
2.6552e+06,0.475168,0.246917,0.277895
2.6642e+06,0.430396,0.40039,0.169194
2.6732e+06,0.440974,0.37779,0.181216
2.6822e+06,0.419461,0.30467,0.27585
2.6912e+06,0.393267,0.474237,0.132477
2.7002e+06,0.38435,0.300482,0.315149
2.7092e+06,0.407435,0.282418,0.310128
2.7182e+06,0.383878,0.280652,0.335452
2.7272e+06,0.548666,0.301924,0.149385
2.7362e+06,0.52945,0.352708,0.117823
2.7452e+06,0.441799,0.437988,0.120194
2.75419e+06,0.319181,0.536165,0.144636
2.76319e+06,0.353291,0.434052,0.21264
2.77219e+06,0.318628,0.374864,0.306491
2.78119e+06,0.303141,0.37435,0.322492
2.79019e+06,0.283325,0.404063,0.312595
2.79919e+06,0.264452,0.57571,0.159822
2.80819e+06,0.303984,0.418053,0.277947
2.81719e+06,0.293551,0.356898,0.349535
2.82619e+06,0.261007,0.471096,0.267881
2.83518e+06,0.271063,0.435563,0.293359
2.84418e+06,0.26261,0.384243,0.353131
2.85318e+06,0.278022,0.370376,0.351586
2.86218e+06,0.24211,0.455939,0.301937
2.87118e+06,0.565361,0.347528,0.0870896
2.88018e+06,0.310433,0.536788,0.152764
2.88918e+06,0.248934,0.586601,0.16445
2.89818e+06,0.205251,0.396498,0.398237
2.90718e+06,0.205972,0.49857,0.295445
2.91618e+06,0.209365,0.376956,0.413665
2.92518e+06,0.190683,0.462201,0.347102
2.93417e+06,0.166912,0.640994,0.192082
2.94317e+06,0.188576,0.488327,0.323084
2.95217e+06,0.170999,0.594904,0.234084
2.96117e+06,0.196441,0.399667,0.40388
2.97017e+06,0.164291,0.636932,0.198764
2.97917e+06,0.193303,0.404702,0.401982
2.98817e+06,0.164612,0.623482,0.211893
2.99717e+06,0.165426,0.615722,0.218839
3.00617e+06,0.163684,0.630119,0.206185
3.01516e+06,0.603106,0.292155,0.104733
3.02416e+06,0.403226,0.327234,0.269526
3.03316e+06,0.352682,0.462552,0.184753
3.04216e+06,0.366505,0.285108,0.348374
3.05116e+06,0.325274,0.368373,0.306341
3.06016e+06,0.353096,0.340907,0.305984
3.06916e+06,0.281605,0.555126,0.163257
3.07816e+06,0.314506,0.374213,0.311269
3.08716e+06,0.522527,0.383422,0.0940263
3.09616e+06,0.66905,0.197315,0.133629
3.10516e+06,0.227335,0.601731,0.170923
3.11415e+06,0.914369,0.0420191,0.0436048
3.12315e+06,0.914499,0.0411413,0.0441898
3.13215e+06,0.834324,0.0569673,0.108562
3.14115e+06,0.798196,0.156053,0.0456053
3.15015e+06,0.165499,0.637785,0.196706
3.15915e+06,0.169407,0.599175,0.231407
3.16815e+06,0.229952,0.466088,0.30395
3.17715e+06,0.197179,0.624326,0.178484
3.18615e+06,0.237452,0.403078,0.35946
3.19514e+06,0.216038,0.599307,0.184646
3.20414e+06,0.222017,0.60663,0.171343
3.21314e+06,0.243425,0.527677,0.228889
3.22214e+06,0.216255,0.588034,0.195702
3.23114e+06,0.231082,0.595511,0.173398
3.24014e+06,0.256089,0.357669,0.386232
3.24914e+06,0.245307,0.502022,0.252662
3.25814e+06,0.285298,0.442956,0.271737
3.26714e+06,0.278791,0.36092,0.36028
3.27614e+06,0.290645,0.49906,0.210286
3.28514e+06,0.228445,0.361533,0.410012
3.29413e+06,0.22884,0.590391,0.18076
3.30313e+06,0.316955,0.516469,0.166568
3.31213e+06,0.306463,0.542871,0.150657
3.32113e+06,0.326647,0.372641,0.300703
3.33013e+06,0.347386,0.464216,0.18839
3.33913e+06,0.356907,0.490134,0.152951
3.34813e+06,0.366635,0.457202,0.176155
3.35713e+06,0.331458,0.406544,0.26199
3.36613e+06,0.376139,0.481037,0.142817
3.37512e+06,0.388066,0.300212,0.311714
3.38412e+06,0.385075,0.303853,0.311064
3.39312e+06,0.431542,0.275485,0.292966
3.40212e+06,0.409475,0.292625,0.297893
3.41112e+06,0.435988,0.25533,0.308674
3.42012e+06,0.613751,0.155241,0.231001
3.42912e+06,0.917371,0.0361016,0.0465218
3.43812e+06,0.38465,0.489092,0.126251
3.44712e+06,0.366201,0.443563,0.19023
3.45612e+06,0.396695,0.468364,0.134934
3.46512e+06,0.391642,0.466276,0.142076
3.47411e+06,0.420742,0.30389,0.275361
3.48311e+06,0.408753,0.410255,0.180985
3.49211e+06,0.447223,0.243325,0.309445
3.50111e+06,0.4345,0.3363,0.229193
3.51011e+06,0.459082,0.388328,0.152583
3.51911e+06,0.48309,0.372777,0.144127
3.52811e+06,0.500685,0.24313,0.256178
3.53711e+06,0.436129,0.433762,0.130103
3.54611e+06,0.520394,0.297531,0.182069
3.5551e+06,0.392909,0.418907,0.188177
3.5641e+06,0.566917,0.193127,0.23995
3.5731e+06,0.569394,0.271225,0.159375
3.5821e+06,0.55096,0.341298,0.107736
3.5911e+06,0.562449,0.181263,0.256281
3.6001e+06,0.554849,0.362809,0.0823356
3.6091e+06,0.547661,0.268959,0.183374
3.6181e+06,0.553768,0.345823,0.100403
3.6271e+06,0.550242,0.250237,0.199515
3.6361e+06,0.591029,0.177849,0.231116
3.6451e+06,0.614275,0.263296,0.122423
3.65409e+06,0.640812,0.240685,0.118498
3.66309e+06,0.614274,0.165114,0.220606
3.67209e+06,0.576611,0.327247,0.0961364
3.68109e+06,0.672287,0.170348,0.15736
3.69009e+06,0.468319,0.232166,0.29951
3.69909e+06,0.723433,0.21927,0.0572922
3.70809e+06,0.624902,0.14913,0.225963
3.71709e+06,0.64459,0.157672,0.197732
3.72609e+06,0.592408,0.246837,0.16075
3.73508e+06,0.665571,0.222141,0.112282
3.74408e+06,0.614609,0.244187,0.141198
3.75308e+06,0.681327,0.237001,0.0816666
3.76208e+06,0.651129,0.134678,0.214188
3.77108e+06,0.637936,0.216909,0.14515
3.78008e+06,0.695478,0.15348,0.151037
3.78908e+06,0.715178,0.18533,0.0994873
3.79808e+06,0.664848,0.17368,0.161467
3.80708e+06,0.657586,0.281457,0.0609517
3.81608e+06,0.739458,0.166515,0.0940223
3.82508e+06,0.572168,0.322321,0.105506
3.83407e+06,0.55689,0.215324,0.227781
3.84307e+06,0.570984,0.207088,0.221923
3.85207e+06,0.511879,0.32891,0.159206
3.86107e+06,0.694703,0.161915,0.143378
3.87007e+06,0.734996,0.207392,0.0576074
3.87907e+06,0.762363,0.0912823,0.14635
3.88807e+06,0.749053,0.183588,0.0673548
3.89707e+06,0.765831,0.0858685,0.148296
3.90607e+06,0.799815,0.062016,0.138165
3.91506e+06,0.743535,0.163551,0.0929098
3.92406e+06,0.779114,0.17796,0.042921
3.93306e+06,0.802791,0.172893,0.0243121
3.94206e+06,0.826673,0.0719886,0.101334
3.95106e+06,0.821457,0.157537,0.0210019
3.96006e+06,0.724214,0.213363,0.0624182
3.96906e+06,0.733621,0.118013,0.148362
3.97806e+06,0.822469,0.0573672,0.12016
3.98706e+06,0.859117,0.0449412,0.0959381
3.99606e+06,0.829214,0.0506232,0.120159
4.00506e+06,0.857773,0.126751,0.0154719
4.01405e+06,0.814901,0.104402,0.0806928
4.02305e+06,0.818666,0.123999,0.0573315
4.03205e+06,0.85059,0.039849,0.109558
4.04105e+06,0.885824,0.0276371,0.086535
4.05005e+06,0.852694,0.130315,0.0169869
4.05905e+06,0.831767,0.106857,0.0613717
4.06805e+06,0.915707,0.0575514,0.0267375
4.07705e+06,0.833183,0.0775294,0.089284
4.08605e+06,0.868724,0.107935,0.0233384
4.09504e+06,0.941521,0.0452258,0.0132507
4.10404e+06,0.739567,0.103778,0.156651
4.11304e+06,0.863974,0.0540044,0.0820176
4.12204e+06,0.833028,0.148077,0.0188911
4.13104e+06,0.83227,0.0479297,0.119797
4.14004e+06,0.80022,0.136115,0.0636613
4.14904e+06,0.850537,0.0397105,0.109749
4.15804e+06,0.813788,0.106792,0.0794167
4.16704e+06,0.88313,0.0507269,0.0661402
4.17604e+06,0.889287,0.0922343,0.0184756
4.18504e+06,0.81474,0.117799,0.0674574
4.19403e+06,0.842886,0.056433,0.100678
4.20303e+06,0.916219,0.0510979,0.0326794
4.21203e+06,0.900792,0.0497043,0.0495009
4.22103e+06,0.907516,0.0242805,0.0681999
4.23003e+06,0.36583,0.376096,0.258069
4.23903e+06,0.965066,0.0106568,0.0242743
4.24803e+06,0.880025,0.0578732,0.0620987
4.25703e+06,0.95027,0.0475185,0.00220891
4.26603e+06,0.915533,0.0196999,0.0647637
4.27502e+06,0.930529,0.0585298,0.0109382
4.28402e+06,0.973804,0.0210923,0.00510102
4.29302e+06,0.933656,0.0570353,0.00930621
4.30202e+06,0.900213,0.0553662,0.0444174
4.31102e+06,0.897378,0.0514545,0.0511651
4.32002e+06,0.981548,0.0155493,0.00290018
4.32902e+06,0.930799,0.0168366,0.052362
4.33802e+06,0.898507,0.0539932,0.0474966
4.34702e+06,0.989727,0.00675089,0.00351907
4.35602e+06,0.366182,0.492763,0.141051
4.36502e+06,0.205033,0.524871,0.270094
4.37401e+06,0.184207,0.558404,0.257387
4.38301e+06,0.286835,0.459736,0.253423
4.39201e+06,0.233451,0.360612,0.405933
4.40101e+06,0.914029,0.0446275,0.0413403
4.41001e+06,0.978144,0.00215302,0.0196999
4.41901e+06,0.971553,0.023279,0.00516535
4.42801e+06,0.915246,0.0344578,0.0502941
4.43701e+06,0.987841,0.0101337,0.00202271
4.44601e+06,0.954004,0.0110725,0.0349214
4.455e+06,0.917845,0.0371265,0.0450265
4.464e+06,0.491431,0.242935,0.265631
4.473e+06,0.691094,0.119888,0.188983
4.482e+06,0.720072,0.228061,0.0518058
4.491e+06,0.74702,0.211576,0.0413685
